demand,demand_id,demand_lat,demand_lng,demand_name,supply,supply_id,supply_lat,supply_lng,supply_name,duration_min,distance_crowflies_km,distance_route_km
1.7871173453,0,54.3589151795,-1.5001358071,Moor Ln,32.3812358986,0,54.0061119397,-1.7651827988,W End,59.3833333333,42.8979470867,65.515
1.7871173453,0,54.3589151795,-1.5001358071,Moor Ln,12.7213395642,1,53.6758912692,-0.7986273328,Old Ln,83.6333333333,88.8183757404,123.339
1.7871173453,0,54.3589151795,-1.5001358071,Moor Ln,23.7954357273,2,54.5962508213,-2.0479931687,Bail Hill,52.7333333333,44.2461213339,52.677
1.7871173453,0,54.3589151795,-1.5001358071,Moor Ln,32.526751279,3,54.3830082376,-0.740023663,Hunt House,78.2,49.4570179172,77.92
1.7871173453,0,54.3589151795,-1.5001358071,Moor Ln,34.7826673047,4,51.3472769719,-2.7668568239,Half Yard,272.1,345.697830335,434.703
1.7871173453,0,54.3589151795,-1.5001358071,Moor Ln,12.9450087862,5,54.7835489007,-1.3816420468,Pesspool Ln,46.45,47.8685904438,66.486
0.8470181865,1,53.6558401488,-1.8033392612,36 Sunnyside,32.3812358986,0,54.0061119397,-1.7651827988,W End,67.85,39.0523865138,52.62
0.8470181865,1,53.6558401488,-1.8033392612,36 Sunnyside,12.7213395642,1,53.6758912692,-0.7986273328,Old Ln,61.2166666667,66.4255934404,83.688
0.8470181865,1,53.6558401488,-1.8033392612,36 Sunnyside,23.7954357273,2,54.5962508213,-2.0479931687,Bail Hill,112.316666667,105.850275315,157.958
0.8470181865,1,53.6558401488,-1.8033392612,36 Sunnyside,32.526751279,3,54.3830082376,-0.740023663,Hunt House,107.15,106.771284604,142.226
0.8470181865,1,53.6558401488,-1.8033392612,36 Sunnyside,34.7826673047,4,51.3472769719,-2.7668568239,Half Yard,232.066666667,264.98881083,353.16
0.8470181865,1,53.6558401488,-1.8033392612,36 Sunnyside,12.9450087862,5,54.7835489007,-1.3816420468,Pesspool Ln,102.016666667,128.455802672,167.91
2.1557948636,2,53.2719147864,-2.4035452072,Knutsford WA16,32.3812358986,0,54.0061119397,-1.7651827988,W End,105.033333333,91.9437533495,141.337
2.1557948636,2,53.2719147864,-2.4035452072,Knutsford WA16,12.7213395642,1,53.6758912692,-0.7986273328,Old Ln,112.416666667,115.61859709,164.185
2.1557948636,2,53.2719147864,-2.4035452072,Knutsford WA16,23.7954357273,2,54.5962508213,-2.0479931687,Bail Hill,138.916666667,149.186602819,200.112
2.1557948636,2,53.2719147864,-2.4035452072,Knutsford WA16,32.526751279,3,54.3830082376,-0.740023663,Hunt House,158.35,165.135646541,222.723
2.1557948636,2,53.2719147864,-2.4035452072,Knutsford WA16,34.7826673047,4,51.3472769719,-2.7668568239,Half Yard,181.45,215.513085392,273.079
2.1557948636,2,53.2719147864,-2.4035452072,Knutsford WA16,12.9450087862,5,54.7835489007,-1.3816420468,Pesspool Ln,153.2,181.019372681,248.407
2.1796837781,3,51.0501077563,0.310183256,Wadhurst UK,32.3812358986,0,54.0061119397,-1.7651827988,W End,287.766666667,357.693382569,419.463
2.1796837781,3,51.0501077563,0.310183256,Wadhurst UK,12.7213395642,1,53.6758912692,-0.7986273328,Old Ln,249.766666667,301.721322166,374.749
2.1796837781,3,51.0501077563,0.310183256,Wadhurst UK,23.7954357273,2,54.5962508213,-2.0479931687,Bail Hill,320.383333333,425.265797317,482.905
2.1796837781,3,51.0501077563,0.310183256,Wadhurst UK,32.526751279,3,54.3830082376,-0.740023663,Hunt House,315.233333333,377.536522886,467.173
2.1796837781,3,51.0501077563,0.310183256,Wadhurst UK,34.7826673047,4,51.3472769719,-2.7668568239,Half Yard,200.566666667,217.52400817,286.994
2.1796837781,3,51.0501077563,0.310183256,Wadhurst UK,12.9450087862,5,54.7835489007,-1.3816420468,Pesspool Ln,310.083333333,430.645246298,492.856
1.9048002238,4,54.9617453678,-2.7557325728, Brampton,32.3812358986,0,54.0061119397,-1.7651827988,W End,135.883333333,124.199354308,175.422
1.9048002238,4,54.9617453678,-2.7557325728, Brampton,12.7213395642,1,53.6758912692,-0.7986273328,Old Ln,169.583333333,191.505145575,249.956
1.9048002238,4,54.9617453678,-2.7557325728, Brampton,23.7954357273,2,54.5962508213,-2.0479931687,Bail Hill,82.9833333333,61.0452467524,75.856
1.9048002238,4,54.9617453678,-2.7557325728, Brampton,32.526751279,3,54.3830082376,-0.740023663,Hunt House,157.983333333,145.067411129,198.992
1.9048002238,4,54.9617453678,-2.7557325728, Brampton,34.7826673047,4,51.3472769719,-2.7668568239,Half Yard,303.733333333,402.115336371,486.9
1.9048002238,4,54.9617453678,-2.7557325728, Brampton,12.9450087862,5,54.7835489007,-1.3816420468,Pesspool Ln,88.8166666667,90.3806193195,118.966
1.1356791415,5,51.9451410556,-1.209115384,B430 Bicester,32.3812358986,0,54.0061119397,-1.7651827988,W End,193.716666667,232.294328245,298.536
1.1356791415,5,51.9451410556,-1.209115384,B430 Bicester,12.7213395642,1,53.6758912692,-0.7986273328,Old Ln,154.533333333,194.519086218,253.713
1.1356791415,5,51.9451410556,-1.209115384,B430 Bicester,23.7954357273,2,54.5962508213,-2.0479931687,Bail Hill,226.333333333,300.192920904,361.978
1.1356791415,5,51.9451410556,-1.209115384,B430 Bicester,32.526751279,3,54.3830082376,-0.740023663,Hunt House,221.183333333,273.029419235,346.246
1.1356791415,5,51.9451410556,-1.209115384,B430 Bicester,34.7826673047,4,51.3472769719,-2.7668568239,Half Yard,127.016666667,126.641891044,159.277
1.1356791415,5,51.9451410556,-1.209115384,B430 Bicester,12.9450087862,5,54.7835489007,-1.3816420468,Pesspool Ln,216.033333333,315.995094276,371.929
2.0847161093,6,53.8751716894,-2.4360425507,Twitter Ln,32.3812358986,0,54.0061119397,-1.7651827988,W End,52.9333333333,46.3855529254,54.37
2.0847161093,6,53.8751716894,-2.4360425507,Twitter Ln,12.7213395642,1,53.6758912692,-0.7986273328,Old Ln,117.033333333,110.165298336,159.063
2.0847161093,6,53.8751716894,-2.4360425507,Twitter Ln,23.7954357273,2,54.5962508213,-2.0479931687,Bail Hill,126.95,84.1255249785,152.904
2.0847161093,6,53.8751716894,-2.4360425507,Twitter Ln,32.526751279,3,54.3830082376,-0.740023663,Hunt House,158.883333333,124.403150795,165.314
